"RG","TG","COEF","RE"
"ITGA6_GPX8","ITGA6","GPX8",-0.0672851914659026,0.405908459971343
"MICAL2_CRIP2","MICAL2","CRIP2",-0.118985677475506,0.556028167199799
"CREB3L1_PPL","CREB3L1","PPL",-0.0278781883021464,0.0749108073493349
"TRIB2_LAT2","TRIB2","LAT2",0.00779049677104577,0.0210964210391705
"TNC_CD44","TNC","CD44",0.194857251437868,0.425409866803608
"WNT3A_STMN3","WNT3A","STMN3",0.0147054972517959,0.00146579073383539
"GSTM3_FXYD3","GSTM3","FXYD3",0.0623912822248978,0.321806403238731
"PTX3_CA9","PTX3","CA9",-0.343974124580953,0.442759672413943
"IL1B_PSMB9","IL1B","PSMB9",0.00930746178177803,0.0104587480767401
"DDB2_PRSS8","DDB2","PRSS8",0.00382765071001496,0.0204070643948496
"ARHGAP4_H2AJ","ARHGAP4","H2AJ",0.162867579427759,0.432987967885695
"USP41_IKZF1","USP41","IKZF1",-0.00404893764853084,0.0126065972483943
"CTNNA2_CHGB","CTNNA2","CHGB",0.25883938397167,0.0476914747905559
"CADM1_IGFBP7","CADM1","IGFBP7",0.0594712049259837,0.120932390599537
"PLAU_F3","PLAU","F3",0.00222713109496562,0.00682759350638045
"GABRE_PSMB9","GABRE","PSMB9",-0.0083129999160975,0.00910530383423231
"CYBRD1_PI3","CYBRD1","PI3",0.0787571135569706,0.156428617382622
"ANKRD1_PIK3R1","ANKRD1","PIK3R1",-0.11907349704742,0.29194353073134
"LY6D_AKR1C3","LY6D","AKR1C3",0.021794732109565,0.0331549589152393
"CASP1_IFITM2","CASP1","IFITM2",0.132530402921312,0.221501628960937
"ADGRF1_PSCA","ADGRF1","PSCA",0.0222713128534188,0.0459207043526371
"WNT1_HRAS","WNT1","HRAS",-0.00175623740998641,0.000209963999894642
"FGF8_DNAJA4","FGF8","DNAJA4",-0.0289960166399473,0.0164916668295015
"ANKRD1_CTSV","ANKRD1","CTSV",0.0104618807638411,0.0256503628768854
"TCF7_MUC2","TCF7","MUC2",-0.0291898098227887,0.090485132483174
"CDC42EP1_H2AJ","CDC42EP1","H2AJ",0.161255192636284,0.778334737664397
"NDRG1_CD40","NDRG1","CD40",-0.0725470421772659,0.379054358726045
"LXN_IRF4","LXN","IRF4",-0.000683664752751577,0.00131892340203584
"CDH17_PYGL","CDH17","PYGL",-0.0383623605811834,0.0911969208846431
"MAGEA4_MUC13","MAGEA4","MUC13",0.0701449443873943,0.110913137863976
"TMEM156_EREG","TMEM156","EREG",0.0804667928221208,0.0719751414187827
"FGF17_LAPTM4B","FGF17","LAPTM4B",0.0437518669901905,0.00912150512667416
"RARB_FABP5","RARB","FABP5",0.450171141668297,0.370333502718559
"PLEK_ITGA5","PLEK","ITGA5",-0.149565735248044,0.0142794628596863
"GSTP1_SFRP1","GSTP1","SFRP1",0.01357772610201,0.125129649392681
"CLDN1_COL5A1","CLDN1","COL5A1",-0.0181379290468465,0.0758703559256358
"G0S2_CREB3L1","G0S2","CREB3L1",0.0394909075565922,0.0537946747417938
"NCKAP1L_WNT9B","NCKAP1L","WNT9B",-0.011467396344021,0.000808866318877265
"PLAU_CTSF","PLAU","CTSF",0.0235600531748428,0.0722267613389044
"UNC13D_FERMT3","UNC13D","FERMT3",0.105883275714368,0.357260796639911
"RPS6KB1_PI3","RPS6KB1","PI3",-0.332665347590118,1.41687889875862
"MYL9_CSAG1","MYL9","CSAG1",0.105269509914478,0.311745379182626
"RAB38_RPS6KB2","RAB38","RPS6KB2",0.0117905263449915,0.0182344073512485
"APOBEC3B_LBH","APOBEC3B","LBH",0.0417140686857173,0.151350073043484
"CTSS_RXRB","CTSS","RXRB",0.0112253018087165,0.028916447516162
"DHRS2_RHOD","DHRS2","RHOD",0.0615089440794231,0.21310141120216
"LOX_ANXA8","LOX","ANXA8",-0.0967444632954877,0.120098069485838
"AXIN1_PSMB9","AXIN1","PSMB9",0.0749775068314297,0.33415306789488
"APOC1_MXRA8","APOC1","MXRA8",-0.0269888414152211,0.0902991732214612
"ANXA6_GULP1","ANXA6","GULP1",-0.245531673173555,0.755567220672346
"RGS4_GTSF1","RGS4","GTSF1",-0.0588663336896278,0.0548998035593063
"ADGRG1_KRT15","ADGRG1","KRT15",0.0320517771456936,0.15436928264108
"MXRA8_DHRS3","MXRA8","DHRS3",-0.169876332668305,0.519472614374208
"NID2_GSK3B","NID2","GSK3B",0.0367736484177738,0.0383745012578705
"STOM_CPVL","STOM","CPVL",-0.0164869110128932,0.0576292210310026
"SLC43A3_SPN","SLC43A3","SPN",0.00538287695130878,0.0154044774568196
"PIK3R3_BASP1","PIK3R3","BASP1",-0.133179292693976,0.329001090567008
"NRCAM_THY1","NRCAM","THY1",-0.0106115850131645,0.0115469294159046
"TGFB3_VASN","TGFB3","VASN",0.00115136371562569,0.00177590707632202
"PFN2_MDFI","PFN2","MDFI",-0.0665393429585833,0.336224870249818
"FXYD2_LGALS4","FXYD2","LGALS4",0.190125980481346,0.0754472085099732
"IL1B_SELENOM","IL1B","SELENOM",0.0487774075397885,0.0548109279689866
