"RG","TG","COEF","RE"
"TESC_OAS2","TESC","OAS2",-0.00774515273939603,0.00149106524751819
"PIK3R1_SEMA3C","PIK3R1","SEMA3C",0.126366166042262,0.41742103931307
"MEF2C_KRT6A","MEF2C","KRT6A",-0.00431814630872485,0.00882204877606881
"RXRG_TFPI","RXRG","TFPI",-0.0273067940442861,0.000585352365189069
"PIK3R3_PRSS23","PIK3R3","PRSS23",0.368355028755672,0.797412548289132
"TXNIP_WNT2B","TXNIP","WNT2B",0.0751313175478879,0.470609360524406
"LAMB1_LARP6","LAMB1","LARP6",-0.0246809717718052,0.191274531326614
"TWIST1_CLDN1","TWIST1","CLDN1",-0.434563031976656,1.59839617215777
"LAMA4_SELENOM","LAMA4","SELENOM",0.00429930559814909,0.0249445429980659
"SMAD3_FGF2","SMAD3","FGF2",-0.0412754232587973,0.230097518087855
"F3_C1R","F3","C1R",0.0551535993428741,0.35452760637243
"GMFG_ITGA6","GMFG","ITGA6",0.0227593436105725,0.0335249279581878
"IFITM3_ASPH","IFITM3","ASPH",0.00150664803620778,0.0143642644914543
"GMFG_NRP2","GMFG","NRP2",-0.19285917751496,0.284085083598848
"PSMB9_TIMP1","PSMB9","TIMP1",-0.0119807264837113,0.0512117967030714
"EGF_LXN","EGF","LXN",0.0904221470712318,0.0989135422846072
"TGFBR1_RPS6KB1","TGFBR1","RPS6KB1",0.0200873532674669,0.0890239862791842
"BEX4_CRIM1","BEX4","CRIM1",-0.0159745391364473,0.0549253709581725
"CCL5_OAS2","CCL5","OAS2",0.139842400963874,0.0854162173560002
